Base Form,Simple Past,Past Participle
be,was/were,been
become,became,become
begin,began,begun
break,broke,broken
bring,brought,brought
build,built,built
buy,bought,bought
catch,caught,caught
choose,chose,chosen
come,came,come
cost,cost,cost
deal,dealt,dealt
do,did,done
drink,drank,drunk
drive,drove,driven
eat,ate,eaten
fall,fell,fallen
feel,felt,felt
find,found,found
fly,flew,flown
forget,forgot,forgotten
get,got,gotten
give,gave,given
go,went,gone
grow,grew,grown
have,had,had
hear,heard,heard
know,knew,known
lead,led,led
leave,left,left
lend,lent,lent
lose,lost,lost
make,made,made
meet,met,met
pay,paid,paid
put,put,put
quit,quit,quit
read,read,read
run,ran,run
say,said,said
see,saw,seen
sell,sold,sold
send,sent,sent
sing,sang,sung
sit,sat,sat
speak,spoke,spoken
spend,spent,spent
stand,stood,stood
take,took,taken
teach,taught,taught
tell,told,told
think,thought,thought
understand,understood,understood
wear,wore,worn
withdraw,withdrew,withdrawn
write,wrote,written
